File created by python code using write_sme_return_file

============================================================
<year>  <month>  <day>  <hour>  <min>  <sec>  <SME (nT)>  <SML (nT)>  <SMU (nT)>
2003  10  27  00  04  00   630.74  -319.22   311.52
2003  10  27  00  05  00   628.63  -322.85   305.78
2003  10  27  00  06  00   612.88  -303.98   308.90
2003  10  27  00  07  00   608.02  -298.53   309.50
2003  10  27  00  08  00   600.97  -294.34   306.63
2003  10  27  00  09  00   592.12  -294.37   297.75
2003  10  27  00  10  00   565.07  -277.80   287.26
2003  10  27  00  11  00   541.70  -270.29   271.42
2003  10  27  00  12  00   526.16  -258.61   267.55
2003  10  27  00  13  00   541.10  -258.72   282.38
2003  10  27  00  14  00   565.37  -271.03   294.34
2003  10  27  00  15  00   595.27  -274.41   320.86
2003  10  27  00  16  00   604.39  -278.51   325.87
2003  10  27  00  17  00   595.41  -277.86   317.55
2003  10  27  00  18  00   629.79  -287.02   342.77
2003  10  27  00  19  00   662.59  -302.74   359.84
2003  10  27  00  20  00   644.25  -302.14   342.11
2003  10  27  00  21  00   634.21  -296.91   337.30
2003  10  27  00  22  00   613.81  -285.45   328.36
2003  10  27  00  23  00   605.61  -276.36   329.25
2003  10  27  00  24  00   593.37  -262.26   331.11
2003  10  27  00  25  00   598.15  -254.44   343.71
2003  10  27  00  26  00   593.01  -245.57   347.44
2003  10  27  00  27  00   562.39  -239.39   323.00
2003  10  27  00  28  00   565.26  -248.96   316.30
2003  10  27  00  29  00   563.24  -244.80   318.44
2003  10  27  00  30  00   554.81  -232.62   322.19
2003  10  27  00  31  00   557.99  -230.46   327.52
2003  10  27  00  32  00   565.99  -233.77   332.22
2003  10  27  00  33  00   573.78  -240.05   333.73
2003  10  27  00  34  00   575.72  -239.84   335.89
2003  10  27  00  35  00   567.98  -235.96   332.03
2003  10  27  00  36  00   568.68  -244.61   324.07
2003  10  27  00  37  00   562.25  -242.99   319.26
2003  10  27  00  38  00   543.22  -236.99   306.23
2003  10  27  00  39  00   549.22  -240.51   308.71
2003  10  27  00  40  00   549.11  -237.00   312.11
2003  10  27  00  41  00   570.42  -248.89   321.54
2003  10  27  00  42  00   560.14  -240.24   319.90
2003  10  27  00  43  00   530.45  -236.87   293.58
2003  10  27  00  44  00   513.63  -236.25   277.39
2003  10  27  00  45  00   509.16  -236.58   272.58
2003  10  27  00  46  00   486.94  -227.71   259.24
2003  10  27  00  47  00   471.62  -222.25   249.37
2003  10  27  00  48  00   451.79  -214.82   236.97
2003  10  27  00  49  00   445.74  -218.01   227.73
2003  10  27  00  50  00   424.57  -213.99   210.58
2003  10  27  00  51  00   420.38  -222.22   198.16
2003  10  27  00  52  00   419.41  -227.33   192.08
2003  10  27  00  53  00   410.28  -219.85   190.43
2003  10  27  00  54  00   411.96  -217.78   194.18
2003  10  27  00  55  00   391.36  -200.72   190.64
2003  10  27  00  56  00   371.06  -189.68   181.38
2003  10  27  00  57  00   360.71  -185.72   174.99
2003  10  27  00  58  00   378.86  -197.67   181.19
2003  10  27  00  59  00   380.24  -191.63   188.61
2003  10  27  01  00  00   377.45  -200.23   177.22
2003  10  27  01  01  00   363.77  -197.96   165.81
2003  10  27  01  02  00   341.21  -184.41   156.80
2003  10  27  01  03  00   341.11  -198.79   142.32
2003  10  27  01  04  00   351.10  -203.78   147.32
2003  10  27  01  05  00   338.12  -190.97   147.15
2003  10  27  01  06  00   331.58  -180.65   150.94
2003  10  27  01  07  00   353.52  -201.82   151.70
2003  10  27  01  08  00   350.99  -204.57   146.42
2003  10  27  01  09  00   348.89  -198.31   150.59
